Département;Sites;Apprentis
Ariège;13;891
Aveyron;31;2288
Haute-Garonne;171;27341
Gers;16;1195
Lot;11;149
Hautes-Pyrénées;21;2167
Tarn;46;3893
Tarn-et-Garonne;20;1761
