Année ,Diplômés ,Programmeurs 
2012,6246,41540
2013,6957,38750
2014,7273,37990
2015,7589,38650
2016,8451,37570
2017,9082,34050
2018,10443,29740
2019,11382,24400
2020,12041,21800
2021,12583,23960
