dateHeureDebutMONTH;Visites;Visites__1 year ago
2024-03-01;91662,0;82471,0
2024-04-01;53018,0;66265,0
2024-05-01;83511,0;70795,0
2024-06-01;33954,0;33193,0
2024-07-01;3538,0;3631,0
2024-08-01;1121,0;936,0
2024-09-01;90508,0;110873,0
2024-10-01;75254,0;94425,0
2024-11-01;94829,0;104605,0
2024-12-01;70582,0;79820,0
2025-01-01;88859,0;93640,0
2025-02-01;45738,0;63667,0
