Nom_commune;Coordonnees_gps;Departement 
ST TRICAT;50.8926601154, 1.82664044658;PAS DE CALAIS
JOUY;48.5156020381, 1.54597077528;EURE ET LOIR
ST PE ST SIMON;44.0026069036, 0.0935459187354;LOT ET GARONNE
MANSIGNE;47.7413528401, 0.133663213026;SARTHE
MORAND;47.5634515197, 1.0077505003;INDRE ET LOIR
ESPARROS;43.0106422066, 0.306373964745;HAUTES PYRENEES
CEYRAT;45.7385665795, 3.06427177861;PUY DE DOME
TREMEREUC;48.5608248662, -2.06398861728;COTES D ARMOR
BONNEIL;49.0082419817, 3.3459478468;AISNE
BIGANOS;44.6611063153, -0.948829442283;GIRONDE
AMBRIERES;48.629003135, 4.82923701475;MARNE
HAGEN;49.4968460062, 6.16553316474;MOSELLE
ST FIRMIN;48.4251143645, 6.13660869738;MEURTHE ET MOSELLE
RIVAS;45.5885484014, 4.25049605154;LOIRE
RELY;50.5758856261, 2.36150772557;PAS DE CALAIS
COUPRAY;47.9771163258, 4.94022617054;HAUTE MARNE
ST VITAL;45.6265051509, 6.30021225205;SAVOIE
CHANOZ CHATENAY;46.1861812234, 5.02807719246;AIN
LA GIETTAZ;45.8738355415, 6.51022116567;SAVOIE
MERICOURT L ABBE;49.945066215, 2.56298035307;SOMME
CHENY;47.944917825, 3.53719621335;YONNE
POIVRES;48.6829849086, 4.27703317765;AUBE
MAILLOT;48.1655005137, 3.3148393225;YONNE
AUPPEGARD;49.8306826854, 1.03085104326;SEINE MARITIME
HAUTEROCHE;46.6884401125, 5.66906572619;JURA
CHEVANNES;48.1314865857, 2.85958457085;LOIRET
GUITRES;45.0431099421, -0.186650688542;GIRONDE
VAGNAS;44.3596132039, 4.34424564679;ARDECHE
BETHINES;46.5469550432, 0.976587336165;VIENNE
MANAS;44.6017015334, 4.97988711048;DROME
BOSC BORDEL;49.6049218358, 1.40929431923;SEINE MARITIME
JOUAC;46.3495733978, 1.25939888968;HAUTE VIENNE
FONTAINE SOUS JOUY;49.0644082735, 1.28056210161;EURE
VELAINE SOUS AMANCE;48.7156089379, 6.32528004772;MEURTHE ET MOSELLE
COURCHATON;47.5135728271, 6.5542014435;HAUTE SAONE
SAUBUSSE;43.6688378118, -1.18625608435;LANDES
BELBEZE EN COMMINGES;43.133868235, 1.02965888187;HAUTE GARONNE
PORT DE PILES;46.9999667755, 0.59772473181;VIENNE
SPAY;47.9251136777, 0.151021420961;SARTHE
TORCE EN VALLEE;48.1322879299, 0.39195616258;SARTHE
CHANCEAUX PRES LOCHES;47.1409474876, 0.939622446092;INDRE ET LOIR
ATHIE;47.5394434653, 3.99227435299;YONNE
SAMBIN;47.4324580301, 1.27722712969;LOIR ET CHER
NICE;43.7119992661, 7.23826889465;ALPES MARITIMES
PIERREFITTE EN CINGLAIS;48.9047122291, -0.38866024742;CALVADOS
ANSAUVILLERS;49.5672978302, 2.38642388977;OISE
OUILLY LE VICOMTE;49.1778461306, 0.215312555979;CALVADOS
ALTRIPPE;49.0273733411, 6.81555740492;MOSELLE
RION DES LANDES;43.9348192825, -0.933954728483;LANDES
HERMEVILLE EN WOEVRE;49.1775489001, 5.6019344626;MEUSE
SAUCHY CAUCHY;50.2357972637, 3.09028659809;PAS DE CALAIS
AUXERRE;47.793488225, 3.58168281761;YONNE
LAVARDAC;44.182938902, 0.301778436575;LOT ET GARONNE
FOUQUEROLLES;49.4590327609, 2.21413521512;OISE
ORGERES;47.9853322097, -1.66640026267;ILE ET VILAINE
CAUCOURT;50.3943730066, 2.57209168767;PAS DE CALAIS
ALLICHAMPS;48.5636922014, 4.88629237794;HAUTE MARNE
AIZENAY;46.7384516809, -1.62702889721;VENDEE
PUNEROT;48.4769780957, 5.81474360261;VOSGES
BREUILLET;48.5718215115, 2.16598389799;ESSONNE
ST MICHEL;45.6398574836, 0.110389548668;CHARENTE
FARAMANS;45.3879958398, 5.15388883556;ISERE
CHAMPILLET;46.5468094689, 2.10739016471;INDRE
LEVIS;47.6601955788, 3.3333881952;YONNE
NACHAMPS;46.0220340085, -0.624302957376;CHARENTE MARITIME
BOUFFIGNEREUX;49.3788374998, 3.84626014622;AISNE
BRIMONT;49.3387814946, 4.03685503885;MARNE
SENEZ;43.9224978199, 6.36903371255;ALPES DE HAUTE PROVENCE
LE DETROIT;48.8738596732, -0.345051519298;CALVADOS
MASPARRAUTE;43.3919071747, -1.08723243847;PYRENEES ATLANTIQUES
MERACQ;43.5116461311, -0.383432750249;PYRENEES ATLANTIQUES
MOY DE L AISNE;49.750274961, 3.35100553228;AISNE
CHANDON;46.1467528549, 4.20223388149;LOIRE
MOISSELLES;49.0459598728, 2.33744939306;VAL D OISE
VILLE;49.5568331597, 2.93397641263;OISE
LA GARENNE COLOMBES;48.9067577111, 2.24464604084;HAUTS DE SEINE
MARLIAC;43.2236919388, 1.47249380734;HAUTE GARONNE
BEAUZAC;45.2567472819, 4.09279084729;HAUTE LOIRE
MONTCEAUX LES VAUDES;48.148825142, 4.1578812358;AUBE
ESPLANTAS VAZEILLES;44.9033054571, 3.54670461918;HAUTE LOIRE
ST NICOLAS DE PIERREPONT;49.3204768919, -1.58266376948;MANCHE
LA CREUSE;47.6824306767, 6.3491717627;HAUTE SAONE
SAPOGNE SUR MARCHE;49.5978665854, 5.3136409637;ARDENNES
PERPEZAC LE NOIR;45.3370896874, 1.55340576295;CORREZE
ESNES;50.0953832001, 3.30848102705;NORD
DAMPIERRE SUR LINOTTE;47.5328760062, 6.24208585386;HAUTE SAONE
ST JEAN LE VIEUX;45.2076677779, 5.87763169081;ISERE
CAZAC;43.347568969, 0.952593670357;HAUTE GARONNE
MONTAGNAC MONTPEZAT;43.766525069, 6.09454805934;ALPES DE HAUTE PROVENCE
MONTILLY;46.610528559, 3.24005745558;ALLIER
TREGARVAN;48.2369590372, -4.23152835996;FINISTERE
ST VIGOR DES MONTS;48.9096722066, -1.05669811205;MANCHE
VILLIERS HERBISSE;48.6429563975, 4.122661962;AUBE
MULCEY;48.8077142021, 6.66402921027;MOSELLE
PREUILLY;47.0949322488, 2.1637576201;CHER
COLOGNAC;44.0327998105, 3.81596701649;GARD
LA ROCHE CLERMAULT;47.128052489, 0.213550560203;INDRE ET LOIR
ROMILLY SUR ANDELLE;49.3343917409, 1.25410011216;EURE
ST JEURE D AY;45.1448039852, 4.71028966691;ARDECHE
OCTON;43.6574397146, 3.29580652136;HERAULT
STE RADEGONDE;46.9906438525, -0.25058352877;DEUX SEVRES
VILLARGONDRAN;45.2527360599, 6.37903424342;SAVOIE
THORAME BASSE;44.1071929199, 6.48931325437;ALPES DE HAUTE PROVENCE
BAGNEUX;48.5571215852, 5.87679654588;MEURTHE ET MOSELLE
MELIN;47.7422930527, 5.82229333828;HAUTE SAONE
MONT ST SULPICE;47.9525719548, 3.63056586616;YONNE
MEGRIT;48.38979598, -2.26731642249;COTES D ARMOR
MOUREDE;43.8007757314, 0.288037071468;GERS
ST GERMAIN D ETABLES;49.8372754134, 1.18137897384;SEINE MARITIME
LABASTIDETTE;43.4572488277, 1.23711538242;HAUTE GARONNE
VELU;50.1007618527, 2.97411822884;PAS DE CALAIS
BRUAILLES;46.5971442892, 5.25884270547;SAONE ET LOIRE
HETOMESNIL;49.631830901, 2.04103130989;OISE
ROCHEBRUNE;44.3264290154, 5.23698675047;DROME
FOURNIVAL;49.4639491439, 2.38160769117;OISE
ANTIGNY;46.6191770822, -0.767030058653;VENDEE
ORLEAT;45.8596417494, 3.43869853549;PUY DE DOME
PONTPIERRE;49.0490255784, 6.63804894747;MOSELLE
WAVILLE;49.012026579, 5.93620450432;MEURTHE ET MOSELLE
ST JEANNET;43.758845389, 7.14073211756;ALPES MARITIMES
BAERENTHAL;48.967824812, 7.52245388571;MOSELLE
LE VAL D AJOL;47.9421994334, 6.50504695363;VOSGES
BARBIZON;48.4485166396, 2.60051335634;SEINE ET MARNE
MONCEAUX SUR DORDOGNE;45.07174218, 1.88908252368;CORREZE
SERIGNY;48.3772241823, 0.590152636294;ORNE
ALLANCHE;45.2312708319, 2.95300274076;CANTAL
CEMBOING;47.8432815911, 5.85414917354;HAUTE SAONE
GIGNAC;43.6393937216, 3.57384628868;HERAULT
PHALEMPIN;50.5128963726, 3.02222998505;NORD
MONTAINVILLE;48.8802024049, 1.85246452448;YVELINES
FUSSY;47.1409616832, 2.42597712218;CHER
COBONNE;44.7564934592, 5.07201219882;DROME
SAUBOLE;43.3105788075, -0.112194249958;PYRENEES ATLANTIQUES
WARCQ;49.1910139129, 5.64237556781;MEUSE
BALIGNAC;43.9557351784, 0.874892919974;TARN ET GARONNE
CROUY;49.4078535405, 3.36640020468;AISNE
CIZE;46.7198972063, 5.91999404872;JURA
VIBERSVILLER;48.9054943096, 6.94495240127;MOSELLE
LALEU;48.5417295562, 0.365988546618;ORNE
VILOSNES HARAUMONT;49.3370255498, 5.2447539057;MEUSE
BEARD GEOVREISSIAT;46.1896733539, 5.55139781353;AIN
JONCHERY SUR SUIPPE;49.1397315843, 4.47372094597;MARNE
MARS LA TOUR;49.0967846153, 5.88467840528;MEURTHE ET MOSELLE
LA HOGUETTE;48.8530698263, -0.160675825982;CALVADOS
COUDURES;43.6880713339, -0.5043614536;LANDES
VAUXBUIN;49.357283338, 3.29549391938;AISNE
SAUMUR;47.2673853525, -0.0830410591988;MAINE ET LOIRE
MARNEZIA;46.5759787765, 5.63640981929;JURA
LUCARRE;43.4036827051, -0.0849144725176;PYRENEES ATLANTIQUES
VIRAZEIL;44.5118708784, 0.238920831275;LOT ET GARONNE
GILLES;48.9091969133, 1.51807124557;EURE ET LOIR
BELGENTIER;43.2399564384, 5.99665900105;VAR
ALBINE;43.4439474577, 2.52811969517;TARN
VILLARS LE SEC;47.4554088507, 6.98803547043;TERRITOIRE DE BELFORT
COLOMIERS;43.611551508, 1.32700218407;HAUTE GARONNE
MESSEI;48.7140643026, -0.539204262797;ORNE
ARLES SUR TECH;42.4498186611, 2.62632454224;PYRENEES ORIENTALES
YVOIRE;46.3635082871, 6.33214094024;HAUTE SAVOIE
ST EUPHRONE;47.4668464015, 4.39181152483;COTE D OR
EPREVILLE EN LIEUVIN;49.2051733652, 0.538408171627;EURE
LANTILLY;47.5421056928, 4.37838223017;COTE D OR
MESSAC;45.3464492913, -0.313416526888;CHARENTE MARITIME
CHANGE;47.9784374731, 0.297080685865;SARTHE
SOULIGNE FLACE;47.9670341132, 0.0141635131783;SARTHE
SAVIGNE SUR LATHAN;47.4496709939, 0.326681669854;INDRE ET LOIR
CHAROLS;44.5895894991, 4.95411000129;DROME
ST CIVRAN;46.4938472391, 1.40425431776;INDRE
BUGNEIN;43.3686766215, -0.754427090491;PYRENEES ATLANTIQUES
ST MARTIN D ARROSSA;43.2283517771, -1.31623061822;PYRENEES ATLANTIQUES
MARSOLAN;43.9410871869, 0.536253009909;GERS
SOLLIES TOUCAS;43.21282693, 5.98693908648;VAR
LADAPEYRE;46.2487275281, 2.05005881672;CREUSE
VARENNES ST SAUVEUR;46.5013604889, 5.23845010898;SAONE ET LOIRE
ROMAZIERES;45.9906722092, -0.176069744425;CHARENTE MARITIME
SOUANYAS;42.5480499348, 2.28418328185;PYRENEES ORIENTALES
VILLEMOIRON EN OTHE;48.1996782401, 3.79189787326;AUBE
JUILLE;48.2452632445, 0.12580313136;SARTHE
LA CAURE;48.9088413041, 3.77651890135;MARNE
LANEUVEVILLE AUX BOIS;48.6227293259, 6.64543068381;MEURTHE ET MOSELLE
VIELLA;42.8710887537, 0.0248813179111;HAUTES PYRENEES
ST ROMANS LES MELLE;46.2066461108, -0.196334503286;DEUX SEVRES
OIRON;46.9369329202, -0.0842351282064;DEUX SEVRES
CROIX MOLIGNEAUX;49.8196677644, 3.00036517518;SOMME
RETTEL;49.4341736247, 6.33743036901;MOSELLE
FOLLIGNY;48.8202336889, -1.41781019903;MANCHE
ST GERMAIN LE GAILLARD;49.4890990838, -1.77283879309;MANCHE
NEUFMAISONS;48.4471437689, 6.87001944215;MEURTHE ET MOSELLE
CLOMOT;47.1923530419, 4.48684407065;COTE D OR
ROUMOULES;43.821041609, 6.14864703263;ALPES DE HAUTE PROVENCE
ARCEY;47.2746433472, 4.82435366127;COTE D OR
LABARTHE SUR LEZE;43.4585461585, 1.40082976957;HAUTE GARONNE
LETTEGUIVES;49.4216840077, 1.32704878095;EURE
CASTELGINEST;43.6974132735, 1.4355878363;HAUTE GARONNE
GIVREZAC;45.5409958957, -0.632072583649;CHARENTE MARITIME
VAL DE FIER;45.9279912564, 5.89294651172;HAUTE SAVOIE
MONTROZIER;44.394981764, 2.72127812252;AVEYRON
LA CHAPELLE DE BRAIN;47.6972959919, -1.93416464602;ILE ET VILAINE
ST OFFENGE;45.7387543881, 6.01018266121;SAVOIE
CERE;43.9953544159, -0.546512240784;LANDES
LE ROUX;44.7211157335, 4.14333586468;ARDECHE
CHATAIN;46.0723336149, 0.437740992282;VIENNE
PRIMARETTE;45.4076896858, 5.03351016146;ISERE
GENDREY;47.1963062843, 5.68474768742;JURA
ST MALO DE LA LANDE;49.0630539457, -1.54261997084;MANCHE
ST CLAUDE;46.408600398, 5.87556247635;JURA
ST JEURE D ANDAURE;45.0478373681, 4.46395685246;ARDECHE
BETHISY ST PIERRE;49.3076185781, 2.80360801965;OISE
MIREVAL;43.5170572388, 3.80306531824;HERAULT
BEAUMONT LE ROGER;49.0592104532, 0.754833574426;EURE
BERMONT;47.5754640823, 6.84557401926;TERRITOIRE DE BELFORT
GARTEMPE;46.1523609453, 1.72597584698;CREUSE
LE LANDREAU;47.2077664835, -1.29844309328;LOIRE ATLANTIQUE
ST LOUP;45.9997627208, -0.647620851494;CHARENTE MARITIME
MONTSOULT;49.0715830247, 2.30381480542;VAL D OISE
EYCHEIL;42.9553633761, 1.15625348151;ARIEGE
VIEUX;49.1128141033, -0.442946705773;CALVADOS
LA CHAPELLE SUR CHEZY;48.9492049177, 3.37662807022;AISNE
CAMPREMY;49.5638031018, 2.32696331161;OISE
QUINCY SOUS SENART;48.6703327314, 2.52837404941;ESSONNE
ERSTROFF;48.980103423, 6.77594710498;MOSELLE
LE LUART;48.0800184955, 0.596928704808;SARTHE
BISSY SOUS UXELLES;46.5685167956, 4.72714301912;SAONE ET LOIRE
VILLERS SEMEUSE;49.7411448562, 4.7510548564;ARDENNES
HUCLIER;50.4369559747, 2.35470715306;PAS DE CALAIS
LA ROCHE BERNARD;47.5193208116, -2.30307422213;MORBIHAN
DOMMARIEN;47.6892296711, 5.35283846982;HAUTE MARNE
JUILLE;46.1120285773, -0.223925439976;DEUX SEVRES
BOULIGNY;49.2916071166, 5.74543375394;MEUSE
ARTENAY;48.076236639, 1.88000171801;LOIRET
ST LEONARD;49.2258255377, 4.10765248658;MARNE
GUMBRECHTSHOFFEN;48.9027833028, 7.62074781132;BAS RHIN
STE HELENE BONDEVILLE;49.7715222464, 0.460707972342;SEINE MARITIME
LOUESTAULT;47.6062030941, 0.655292241515;INDRE ET LOIR
STE CROIX DE CADERLE;44.0681849372, 3.87021747137;GARD
HARREBERG;48.6629610218, 7.17414816773;MOSELLE
BOUFFLERS;50.2589447905, 2.02128865897;SOMME
CHIGNY LES ROSES;49.1510624676, 4.06063898517;MARNE
BOISGERVILLY;48.1663042024, -2.08373655963;ILE ET VILAINE
TREVOL;46.6370512909, 3.31589139326;ALLIER
NAVENNE;47.6030208472, 6.1618556725;HAUTE SAONE
GISSEY SOUS FLAVIGNY;47.5177863232, 4.58559367649;COTE D OR
CHERVES;46.6943513948, 0.0270041425401;VIENNE
SORNAC;45.6694408619, 2.18045644477;CORREZE
LAVAULT STE ANNE;46.3086016059, 2.60160340266;ALLIER
PYS;50.0828866857, 2.76242466587;SOMME
GAILLARDBOIS CRESSENVILLE;49.3391972504, 1.39978566632;EURE
BOURGUEIL;47.3103261914, 0.17424139464;INDRE ET LOIR
AUSSURUCQ;43.1289596051, -0.978843273973;PYRENEES ATLANTIQUES
CHAUFFOURS;48.3944888938, 1.33691872297;EURE ET LOIR
SANTEUIL;48.3828802713, 1.7401363101;EURE ET LOIR
CHAUVINCOURT PROVEMONT;49.2808952315, 1.64529134367;EURE
PERPEZAC LE BLANC;45.2136295259, 1.32740284551;CORREZE
ST FERREOL;45.7833203062, 6.30718276137;HAUTE SAVOIE
CORNILLE;45.2457104683, 0.779065971787;DORDOGNE
ST LAURENT DE LA PREE;45.9878727507, -1.02745670693;CHARENTE MARITIME
VAUCLERC;48.7072494854, 4.67364422061;MARNE
STE BLANDINE;46.2464579587, -0.277039232299;DEUX SEVRES
BUCY LE LONG;49.3884447185, 3.39828602712;AISNE
CHAMBLAY;46.9910483853, 5.70335674232;JURA
ESTREE WAMIN;50.2689484994, 2.39437823865;PAS DE CALAIS
AMBLY SUR MEUSE;49.0225781961, 5.45226054579;MEUSE
ST MARTIN DES FONTAINES;46.5464637508, -0.907394581139;VENDEE
SERDINYA;42.5762876689, 2.32227751946;PYRENEES ORIENTALES
CASTEL SARRAZIN;43.6176642945, -0.787879351472;LANDES
MORY;50.1566834993, 2.85758228781;PAS DE CALAIS
MAUVEZIN DE PRAT;43.0324532484, 0.992112596886;ARIEGE
ANTILLY;49.19731326, 6.24824504682;MOSELLE
SENNECEY LE GRAND;46.6369174742, 4.8906553054;SAONE ET LOIRE
VONGNES;45.8129059524, 5.72536666767;AIN
NEUVILLER LA ROCHE;48.4309499766, 7.26437049524;BAS RHIN
MAYRAC;44.8995623407, 1.54645622061;LOT
RIBES;44.5036367428, 4.19775293307;ARDECHE
POISEUL LES SAULX;47.5785116858, 4.98176331953;COTE D OR
ST DENIS LES REBAIS;48.845087486, 3.19932466379;SEINE ET MARNE
AULNOIS EN PERTHOIS;48.6347700844, 5.12637328459;MEUSE
CHUZELLES;45.5754949001, 4.87825997327;ISERE
LE COTEAU;46.0172302823, 4.09095787437;LOIRE
BAUDRECOURT;48.3950398869, 4.96825290253;HAUTE MARNE
ST AIGNAN;44.0231974542, 1.07335605665;TARN ET GARONNE
GIOUX;45.8012431656, 2.11443257853;CREUSE
SERENAC;43.9589302642, 2.32732633415;TARN
MAISONNAIS SUR TARDOIRE;45.7119603941, 0.683803927182;HAUTE VIENNE
RECOLOGNE;47.5821627991, 5.77361697832;HAUTE SAONE
ROANNE;46.0449112487, 4.0797045647;LOIRE
MAREAU AUX BOIS;48.0983163957, 2.19061248638;LOIRET
GLUN;45.0070163516, 4.82465206981;ARDECHE
CAULAINCOURT;49.864658382, 3.11126489473;AISNE
ST ETIENNE DU BOIS;46.8418481774, -1.59617737479;VENDEE
BRICQUEBEC EN COTENTIN;49.4699810492, -1.63261585347;MANCHE
TALLENDE;45.661669969, 3.13374681277;PUY DE DOME
CARANTILLY;49.0661156491, -1.24968371393;MANCHE
BENDORF;47.4845658206, 7.2774077888;HAUT RHIN
QUEMPER GUEZENNEC;48.7006441281, -3.10832259045;COTES D ARMOR
MAZIERES DE TOURAINE;47.3913160682, 0.429463842673;INDRE ET LOIR
VERNAUX;42.786305834, 1.78239713936;ARIEGE
MONTEGUT;43.8736591774, -0.204038258587;LANDES
MOUSSOULENS;43.2811009539, 2.23830032758;AUDE
VERAZA;42.9927983213, 2.30791216337;AUDE
ADAST;42.9753854058, -0.0764342583386;HAUTES PYRENEES
ST MAURICE ETUSSON;47.0496404823, -0.508816707634;DEUX SEVRES
ST BENOIT DES OMBRES;49.2265023608, 0.618333897431;EURE
ST AMAND MONTROND;46.726171431, 2.52013626979;CHER
ST VICTOUR;45.4654766822, 2.38592172613;CORREZE
ST AUBIN LE CAUF;49.8678815711, 1.17642488577;SEINE MARITIME
PONTGOUIN;48.4914581287, 1.14548967214;EURE ET LOIR
MEZANGERS;48.2005441476, -0.449609961038;MAYENNE
COURTEFONTAINE;47.3214778627, 6.91192058012;DOUBS
CONNERRE;48.0507447506, 0.467977281249;SARTHE
MALLIEVRE;46.9112847287, -0.864977836096;VENDEE
FOLKLING;49.1512458848, 6.90623591877;MOSELLE
AURIAT;45.8709814148, 1.63389938351;CREUSE
BRUGNY VAUDANCOURT;48.9832921495, 3.85964192502;MARNE
COIN LES CUVRY;49.0248510499, 6.13661695349;MOSELLE
BESSAIS LE FROMENTAL;46.7475178311, 2.77476595037;CHER
PLIBOUX;46.1647195331, 0.12277120326;DEUX SEVRES
CHANIAT;45.3163724348, 3.48010403585;HAUTE LOIRE
FRECHEDE;43.3651632338, 0.261264447769;HAUTES PYRENEES
PUYLAUSIC;43.4440094082, 0.934879831241;GERS
RAYMOND;46.9716860127, 2.68986237741;CHER
CAUX;43.5044671037, 3.36827222924;HERAULT
CORNUSSE;46.9561295033, 2.73264385975;CHER
CHALANDRAY;46.6544747841, -0.00687604114589;VIENNE
BAGARD;44.070391573, 4.04387785111;GARD
ARTHON;46.6931304896, 1.71130740486;INDRE
BANNEGON;46.8069473041, 2.7278310908;CHER
FRETIGNEY ET VELLOREILLE;47.4895779062, 5.93793813227;HAUTE SAONE
SOMBERNON;47.3105432951, 4.70317881741;COTE D OR
STE CROIX EN PLAINE;48.0108373364, 7.39448245044;HAUT RHIN
GUYENCOURT SUR NOYE;49.776486887, 2.36059657656;SOMME
ISSE;47.6173601577, -1.4560368491;LOIRE ATLANTIQUE
PEUMERIT;47.9464369545, -4.29604672323;FINISTERE
ST GILLES;49.2815444611, 3.6769576626;MARNE
FONTENAY LES BRIIS;48.6107631779, 2.16460955805;ESSONNE
LUC SUR AUDE;42.9640628627, 2.28123974033;AUDE
YVRENCH;50.1846847389, 2.01563427911;SOMME
LA SELVE;49.5698786702, 3.99524867672;AISNE
BEAUFORT EN ANJOU;47.4363863926, -0.206986791966;MAINE ET LOIRE
ARCHAIL;44.1110653424, 6.33071411194;ALPES DE HAUTE PROVENCE
JUVILLE;48.9306249062, 6.3588020815;MOSELLE
LA COULONCHE;48.6375516967, -0.466617045312;ORNE
LIMOGNE EN QUERCY;44.3966427227, 1.77829583648;LOT
BONNUT;43.5504537514, -0.765861941107;PYRENEES ATLANTIQUES
FUMEL;44.5082127529, 0.979557344106;LOT ET GARONNE
YVECRIQUE;49.6892609326, 0.807122350958;SEINE MARITIME
LA CHAISE DIEU;45.3187166909, 3.69286458356;HAUTE LOIRE
ST LEGER;48.0862593313, -0.446252425773;MAYENNE
PARIGNARGUES;43.8696516481, 4.21350667303;GARD
UHLWILLER;48.8202578689, 7.67470803749;BAS RHIN
TAURIAC;44.9103810308, 1.77420237883;LOT
KERNILIS;48.5750998545, -4.41083287138;FINISTERE
ARTAISE LE VIVIER;49.5719309826, 4.89264459284;ARDENNES
FABRAS;44.6484389575, 4.28119591056;ARDECHE
LE MAGNY;46.5566903776, 1.95895779843;INDRE
BOUHET;46.1629168745, -0.85833337983;CHARENTE MARITIME
CAIGNAC;43.3198333866, 1.70726784599;HAUTE GARONNE
VILLERS SOUS PRENY;48.9430575567, 5.99502891051;MEURTHE ET MOSELLE
GRICOURT;49.8869947757, 3.23960817466;AISNE
HERRIN;50.5495900938, 2.96246977042;NORD
LOUDEAC;48.1740293909, -2.75097544378;COTES D ARMOR
OUZILLY;46.7754878528, 0.357821774595;VIENNE
POUCHARRAMET;43.423058709, 1.16684453964;HAUTE GARONNE
ANCY;45.8321615079, 4.50376874726;RHONE
ST MAURICE DES NOUES;46.5955876221, -0.724327725888;VENDEE
VEIGNE;47.2888419417, 0.729965991438;INDRE ET LOIR
MESLAY;48.9539488574, -0.392456343862;CALVADOS
SAINGHIN EN WEPPES;50.5583359872, 2.89740255201;NORD
LANGON;44.5376287285, -0.241841251091;GIRONDE
LA CROUZILLE;46.1718472306, 2.75158999506;PUY DE DOME
VELLEVANS;47.3069330762, 6.50266698549;DOUBS
LUZY SUR MARNE;48.0565587654, 5.20017320213;HAUTE MARNE
BOUTIGNY PROUAIS;48.7343916136, 1.56955678251;EURE ET LOIR
BRY;50.3162997425, 3.68368839887;NORD
MONTHENAULT;49.4892743465, 3.65592404446;AISNE
WIERRE EFFROY;50.7718663253, 1.73716281389;PAS DE CALAIS
ANNOIX;46.9690286816, 2.54279366157;CHER
TERNAS;50.3394097594, 2.39775976719;PAS DE CALAIS
MONTEGUT BOURJAC;43.2815929333, 0.985102720246;HAUTE GARONNE
ST MARTIN DE BEAUVILLE;44.2289840345, 0.818300384725;LOT ET GARONNE
NEUVILLY EN ARGONNE;49.1634575272, 5.04657677548;MEUSE
CYSOING;50.5639123041, 3.21398704215;NORD
BOULETERNERE;42.6445403346, 2.58787927866;PYRENEES ORIENTALES
AUBIGNY;46.6733055007, 3.16204245022;ALLIER
CHAREIL CINTRAT;46.2662583678, 3.2297935311;ALLIER
MOUREUILLE;46.1626033559, 2.89026644721;PUY DE DOME
COSNE D ALLIER;46.482962805, 2.82323006329;ALLIER
POMMERIT LE VICOMTE;48.6180167491, -3.10285419509;COTES D ARMOR
LOYAT;47.9922231376, -2.38391082278;MORBIHAN
ANDANCETTE;45.2464246163, 4.81244292927;DROME
EQUILLY;48.8331161622, -1.38244555863;MANCHE
PIROU;49.1646654807, -1.55903985715;MANCHE
CIERZAC;45.561206889, -0.313695229366;CHARENTE MARITIME
ST CERNIN DE LARCHE;45.0919444107, 1.41237097897;CORREZE
BOURANTON;48.3149302747, 4.1804938417;AUBE
CHAMPROND;48.0829601424, 0.747203594283;SARTHE
MOURMELON LE PETIT;49.1331102957, 4.30596210424;MARNE
MAIGNAUT TAUZIA;43.888506896, 0.399761933288;GERS
LE SOURN;48.0382214758, -2.99470821094;MORBIHAN
LA NEUVILLE;50.4968963031, 3.05358974895;NORD
CHALIGNY;48.6369570839, 6.09005794818;MEURTHE ET MOSELLE
PONT LES BONFAYS;48.1672898081, 6.14266150561;VOSGES
AIGUILHE;45.0530693199, 3.88524729137;HAUTE LOIRE
GERSTHEIM;48.3807788366, 7.70453174528;BAS RHIN
BONVILLER;48.62740859, 6.49547156004;MEURTHE ET MOSELLE
HOURY;49.7861780633, 3.84806416077;AISNE
CORME ROYAL;45.7457848259, -0.809484393759;CHARENTE MARITIME
VILLEROMAIN;47.7179483833, 1.14691831404;LOIR ET CHER
REJET DE BEAULIEU;50.0452957797, 3.63508660272;NORD
BLAMONT;48.5905345206, 6.84253315857;MEURTHE ET MOSELLE
HUMIERES;50.3848586497, 2.20826918939;PAS DE CALAIS
SAUDOY;48.6819330141, 3.69807910524;MARNE
ST ANDRE EN TERRE PLAINE;47.4822498163, 4.05335131054;YONNE
NEUBOIS;48.3028817341, 7.3176285572;BAS RHIN
BETPOUY;43.2719488626, 0.45729417903;HAUTES PYRENEES
DARGOIRE;45.5627238803, 4.67407383096;LOIRE
GILLOIS;46.7301116843, 6.03133695605;JURA
TROUSSEY;48.701256647, 5.69348408341;MEUSE
BRASLES;49.0567927241, 3.42453409652;AISNE
ST AUBIN D ARQUENAY;49.2610054485, -0.283867469295;CALVADOS
LA BOURDINIERE ST LOUP;48.3170148124, 1.43019186424;EURE ET LOIR
BELLENGLISE;49.9261057081, 3.2441994692;AISNE
SOUFFLENHEIM;48.8085682655, 7.95676945015;BAS RHIN
FOLGENSBOURG;47.5385121748, 7.44187031126;HAUT RHIN
ST PREJET D ALLIER;44.9200322739, 3.6252137957;HAUTE LOIRE
CELOUX;45.1381000206, 3.2607636006;CANTAL
PALAVAS LES FLOTS;43.533536456, 3.92620839566;HERAULT
CAMBOUNES;43.5907432712, 2.43974230887;TARN
BONNEGARDE;43.5640369667, -0.712916423938;LANDES
LOURDIOS ICHERE;43.0419831344, -0.655955491716;PYRENEES ATLANTIQUES
BEAUFORT;45.3294079707, 5.11631301221;ISERE
BEAULIEU SUR LAYON;47.3187109536, -0.600035399851;MAINE ET LOIRE
LE RECOUX;44.3437335898, 3.16392711408;LOZERE
BERRE LES ALPES;43.8378738812, 7.33076301102;ALPES MARITIMES
