Nom_commune;Coordonnees_gps;Departement
ESCARO;42.5345574095, 2.31898297559;PYRENEES ORIENTALES
BESSY SUR CURE;47.6194313018, 3.72664965671;YONNE
QUIE;42.8425853909, 1.58955333024;ARIEGE
CANY BARVILLE;49.7754431249, 0.633291896241;SEINE MARITIME
ETRAY;47.1243273869, 6.33533326186;DOUBS
OINVILLE ST LIPHARD;48.2356320829, 1.92414549708;EURE ET LOIR
ST MYON;45.9871537427, 3.12955448011;PUY DE DOME
FLAVIAC;44.7507352776, 4.66001992522;ARDECHE
CHALETTE SUR LOING;48.0188121595, 2.73578852299;LOIRET
AUTHIOU;47.2653242927, 3.41891982538;NIEVRE
ST PIERRE LES BOIS;46.6716980525, 2.28339234015;CHER
NEUVELLE LES CROMARY;47.4079331287, 6.06801697703;HAUTE SAONE
ETAVES ET BOCQUIAUX;49.9310354275, 3.45081301205;AISNE
ST CELERIN;48.1258397672, 0.433533893718;SARTHE
MEJANNES LE CLAP;44.2309207985, 4.36426612667;GARD
CERISE;48.4441981247, 0.131476179306;ORNE
LE MESNIL AUBRY;49.0535430501, 2.39230869097;VAL D OISE
JAVAUGUES;45.2916285035, 3.49051315669;HAUTE LOIRE
FLOURSIES;50.1863221041, 3.97166819813;NORD
LENS;50.4374264148, 2.82105851259;PAS DE CALAIS
DONTRIEN;49.2408574651, 4.41468324878;MARNE
GUIGNES;48.6358224167, 2.80042109731;SEINE ET MARNE
LENTILLERES;44.6092419896, 4.29820132309;ARDECHE
BENY;46.3188629218, 5.28253433405;AIN
TAILLADES;43.8315474513, 5.09480690548;VAUCLUSE
ST MARTIN LES MELLE;46.2262502573, -0.16852854296;DEUX SEVRES
AMBLEVILLE;49.1509533273, 1.69495333477;VAL D OISE
ST LOUP DE NAUD;48.5369790408, 3.21790168625;SEINE ET MARNE
VIGOULANT;46.4389739269, 2.08397250932;INDRE
VAUPILLON;48.4601431127, 0.969676262145;EURE ET LOIR
SALETTES;44.5660899687, 4.96944510091;DROME
COINCHES;48.244948169, 7.02470695131;VOSGES
ST ETIENNE DU ROUVRAY;49.3814944369, 1.08976892912;SEINE MARITIME
SARRAZAC;45.0168784249, 1.57945390824;LOT
LA COLOMBE;48.8755777251, -1.19526749563;MANCHE
PLOU;47.0315088379, 2.14830052941;CHER
LE BOSC RENOULT;48.9156193104, 0.309566800591;ORNE
ARDILLIERES;46.0498769657, -0.890135865297;CHARENTE MARITIME
LOYE SUR ARNON;46.6333009116, 2.40164471398;CHER
CAMPS SUR L AGLY;42.8638864709, 2.41909357872;AUDE
ST CHRISTOPHE;46.2545993789, 4.53354933905;RHONE
ST VICTOR;46.3882767935, 2.60941319336;ALLIER
CHARTAINVILLIERS;48.5430971453, 1.54564862938;EURE ET LOIR
ST LOUP HORS;49.2602090731, -0.730457240474;CALVADOS
QUERS;47.7265725421, 6.44190113641;HAUTE SAONE
ST PRIVAT DES VIEUX;44.1416859983, 4.13063351815;GARD
ROINVILLE;48.5170698274, 2.05333144451;ESSONNE
SEPT FRERES;48.8642009505, -1.04020263222;CALVADOS
TASQUE;43.6375200891, 0.0112451913592;GERS
BOURDEILLES;45.3187110964, 0.581100424712;DORDOGNE
JARRIER;45.287185628, 6.3075655794;SAVOIE
BRANCOURT EN LAONNOIS;49.5176286609, 3.41282321335;AISNE
POILCOURT SYDNEY;49.4196830149, 4.09489893984;ARDENNES
LEUZE;49.8578215993, 4.16963845435;AISNE
NANT LE PETIT;48.6517674687, 5.22623977721;MEUSE
LA BRUYERE;47.8126908026, 6.46989789296;HAUTE SAONE
GANAC;42.9307441238, 1.55979316845;ARIEGE
URMATT;48.5390014537, 7.29527991151;BAS RHIN
BARJAC;44.5220189708, 3.40925330342;LOZERE
ST JULIEN DU TERROUX;48.4835428783, -0.409443392744;MAYENNE
THERMES MAGNOAC;43.2974962072, 0.603217695988;HAUTES PYRENEES
ST AIGNAN;49.6549320402, 4.85224753054;ARDENNES
MAFFLIERS;49.083629147, 2.312333333;VAL D OISE
QUETTREVILLE SUR SIENNE;48.9618413224, -1.46914956989;MANCHE
ST MARTIN DE FRESSENGEAS;45.4533715908, 0.841754032741;DORDOGNE
SERIGNAC;44.4278702673, 1.08610284521;LOT
MORAS;45.6869533334, 5.26058834706;ISERE
TOUET SUR VAR;43.9433123484, 7.01347640084;ALPES MARITIMES
TRESSIGNAUX;48.6103866448, -2.97487593888;COTES D ARMOR
LA TRINITE;48.7882899186, -1.24631476826;MANCHE
ROQUEFERE;43.3939652788, 2.37477905225;AUDE
DALHUNDEN;48.7711698119, 7.99159083509;BAS RHIN
ST MELOIR DES BOIS;48.4415973403, -2.25735689122;COTES D ARMOR
SEVRAI;48.7048584232, -0.151545774151;ORNE
CUZANCE;44.9618841392, 1.52986914567;LOT
THOIRES;47.9407836384, 4.6819546564;COTE D OR
RUMILLY EN CAMBRESIS;50.1304621675, 3.22848231666;NORD
ST MARTIN D ARC;45.206861554, 6.45941152477;SAVOIE
LA VILLEDIEU EN FONTENETTE;47.7712074637, 6.20381518294;HAUTE SAONE
FERTREVE;46.9629893289, 3.58909121606;NIEVRE
JUSTINIAC;43.2144559342, 1.48880175894;ARIEGE
LORP SENTARAILLE;43.0159566285, 1.10827434601;ARIEGE
PORT EN BESSIN HUPPAIN;49.3396014282, -0.772708434394;CALVADOS
BOURSIES;50.1408057238, 3.04441612391;NORD
COURCOURY;45.7030914699, -0.563571541525;CHARENTE MARITIME
SERRESLOUS ET ARRIBANS;43.6646772072, -0.643699359911;LANDES
PREMONTRE;49.5493580112, 3.4177638358;AISNE
ROIFFE;47.1252100778, 0.0517426061907;VIENNE
LANGY;46.2728774328, 3.46181153336;ALLIER
LONGUE JUMELLES;47.3984723864, -0.107579294015;MAINE ET LOIRE
ST ANDRE DES EAUX;48.3731003808, -2.01421441815;COTES D ARMOR
CHAINEE DES COUPIS;46.9220207447, 5.43463248879;JURA
NULLEMONT;49.7707112808, 1.64690403795;SEINE MARITIME
ST DIDIER EN BRIONNAIS;46.3389618566, 4.12398116722;SAONE ET LOIRE
SAUVIGNY LE BOIS;47.5132454769, 3.95639274581;YONNE
ACHENHEIM;48.58046231, 7.62540605297;BAS RHIN
LES TROIS MOUTIERS;47.0614723678, 0.0102809057425;VIENNE
MASSAC SERAN;43.6683120665, 1.86258553389;TARN
EQUIHEN PLAGE;50.6793131074, 1.57627344046;PAS DE CALAIS
MOMAS;43.4440655322, -0.442604552796;PYRENEES ATLANTIQUES
CREZANCY EN SANCERRE;47.3043105708, 2.74787668704;CHER
STE MARIE D ALVEY;45.5945348192, 5.71473062116;SAVOIE
AUTHEZAT;45.6385828582, 3.19313623822;PUY DE DOME
BANIOS;43.0387732941, 0.22854718648;HAUTES PYRENEES
FRAIGNOT ET VESVROTTE;47.6494704786, 4.9384456562;COTE D OR
ANDILLY;46.2630044811, -1.01765756102;CHARENTE MARITIME
CROUY SUR COSSON;47.6544025153, 1.62332490974;LOIR ET CHER
LONGEVELLE SUR DOUBS;47.4597602248, 6.64960735527;DOUBS
VANTOUX;49.1323231811, 6.233426984;MOSELLE
BAVELINCOURT;50.00064508, 2.44958045984;SOMME
BISSERT;48.9461819262, 7.01770386276;BAS RHIN
